plant_id,plant_name,latitude,longitude
64.0,Lemon Creek,58.3536,-134.4953
64.0,Lemon Creek,58.3536,-134.4953
64.0,Lemon Creek,58.3536,-134.4953
64.0,Lemon Creek,58.3536,-134.4953
64.0,Lemon Creek,58.3536,-134.4953
64.0,Lemon Creek,58.3536,-134.4953
64.0,Lemon Creek,58.3536,-134.4953
64.0,Lemon Creek,58.3536,-134.4953
65.0,Salmon Creek 1,58.3269,-134.4631
66.0,Skagway,59.4545,-135.3131
66.0,Skagway,59.4545,-135.3131
66.0,Skagway,59.4545,-135.3131
66.0,Skagway,59.4545,-135.3131
66.0,Skagway,59.4545,-135.3131
66.0,Skagway,59.4545,-135.3131
66.0,Skagway,59.4545,-135.3131
66.0,Skagway,59.4545,-135.3131
69.0,Haines,59.235931,-135.4462
69.0,Haines,59.235931,-135.4462
69.0,Haines,59.235931,-135.4462
69.0,Haines,59.235931,-135.4462
69.0,Haines,59.235931,-135.4462
69.0,Haines,59.235931,-135.4462
70.0,Swan Lake,55.615208,-131.3561
70.0,Swan Lake,55.615208,-131.3561
71.0,Terror Lake Microgrid,57.6861,-152.895
71.0,Terror Lake Microgrid,57.6861,-152.895
71.0,Terror Lake Microgrid,57.6861,-152.895
72.0,Venice Hydro,34.01135,-118.4168
75.0,Hank Nikkels Plant 1,61.2221,-149.8661
75.0,Hank Nikkels Plant 1,61.2221,-149.8661
75.0,Hank Nikkels Plant 1,61.2221,-149.8661
77.0,Eklutna Hydro Project,61.475211,-149.1501
77.0,Eklutna Hydro Project,61.475211,-149.1501
78.0,Snettisham,58.1415,-133.737
78.0,Snettisham,58.1415,-133.737
78.0,Snettisham,58.1415,-133.737
79.0,Aurora Energy LLC Chena,64.847743,-147.7351
79.0,Aurora Energy LLC Chena,64.847743,-147.7351
79.0,Aurora Energy LLC Chena,64.847743,-147.7351
84.0,Ketchikan,55.344641,-131.6334
84.0,Ketchikan,55.344641,-131.6334
84.0,Ketchikan,55.344641,-131.6334
85.0,S W Bailey,55.357397,-131.697
85.0,S W Bailey,55.357397,-131.697
85.0,S W Bailey,55.357397,-131.697
85.0,S W Bailey,55.357397,-131.697
88.0,Ashokan,41.949,-74.2063
88.0,Ashokan,41.949,-74.2063
90.0,Snake River,64.505331,-165.4298
90.0,Snake River,64.505331,-165.4298
90.0,Snake River,64.505331,-165.4298
90.0,Snake River,64.505331,-165.4298
90.0,Snake River,64.505331,-165.4298
90.0,Snake River,64.505331,-165.4298
90.0,Snake River,64.505331,-165.4298
91.0,Petersburg,56.81104,-132.9571
91.0,Petersburg,56.81104,-132.9571
91.0,Petersburg,56.81104,-132.9571
91.0,Petersburg,56.81104,-132.9571
91.0,Petersburg,56.81104,-132.9571
91.0,Petersburg,56.81104,-132.9571
91.0,Petersburg,56.81104,-132.9571
91.0,Petersburg,56.81104,-132.9571
92.0,Seward (AK),60.130922,-149.435
92.0,Seward (AK),60.130922,-149.435
92.0,Seward (AK),60.130922,-149.435
92.0,Seward (AK),60.130922,-149.435
92.0,Seward (AK),60.130922,-149.435
92.0,Seward (AK),60.130922,-149.435
93.0,Blue Lake Hydro,57.0516,-135.2297
93.0,Blue Lake Hydro,57.0516,-135.2297
93.0,Blue Lake Hydro,57.0516,-135.2297
95.0,Wrangell,56.460976,-132.3794
95.0,Wrangell,56.460976,-132.3794
95.0,Wrangell,56.460976,-132.3794
95.0,Wrangell,56.460976,-132.3794
95.0,Wrangell,56.460976,-132.3794
96.0,Beluga,61.1861,-151.0356
96.0,Beluga,61.1861,-151.0356
96.0,Beluga,61.1861,-151.0356
96.0,Beluga,61.1861,-151.0356
96.0,Beluga,61.1861,-151.0356
96.0,Beluga,61.1861,-151.0356
99.0,Frederickson,47.079722,-122.365
99.0,Frederickson,47.079722,-122.365
100.0,South Consolidated,33.466477,-111.7811
104.0,J S Eastwood,37.147926,-119.2567
108.0,Holcomb,37.9308,-100.9725
109.0,Dillingham,59.042914,-158.4686
109.0,Dillingham,59.042914,-158.4686
109.0,Dillingham,59.042914,-158.4686
109.0,Dillingham,59.042914,-158.4686
109.0,Dillingham,59.042914,-158.4686
109.0,Dillingham,59.042914,-158.4686
109.0,Dillingham,59.042914,-158.4686
109.0,Dillingham,59.042914,-158.4686
109.0,Dillingham,59.042914,-158.4686
113.0,Cholla,34.9394,-110.3033
113.0,Cholla,34.9394,-110.3033
114.0,Douglas,31.364122,-109.5538
116.0,Ocotillo,33.4225,-111.9122
116.0,Ocotillo,33.4225,-111.9122
116.0,Ocotillo,33.4225,-111.9122
116.0,Ocotillo,33.4225,-111.9122
116.0,Ocotillo,33.4225,-111.9122
116.0,Ocotillo,33.4225,-111.9122
116.0,Ocotillo,33.4225,-111.9122
117.0,West Phoenix,33.4417,-112.1583
117.0,West Phoenix,33.4417,-112.1583
117.0,West Phoenix,33.4417,-112.1583
117.0,West Phoenix,33.4417,-112.1583
117.0,West Phoenix,33.4417,-112.1583
117.0,West Phoenix,33.4417,-112.1583
117.0,West Phoenix,33.4417,-112.1583
117.0,West Phoenix,33.4417,-112.1583
117.0,West Phoenix,33.4417,-112.1583
117.0,West Phoenix,33.4417,-112.1583
118.0,Saguaro,32.5517,-111.3
118.0,Saguaro,32.5517,-111.3
118.0,Saguaro,32.5517,-111.3
120.0,Yucca,32.7214,-114.7106
120.0,Yucca,32.7214,-114.7106
120.0,Yucca,32.7214,-114.7106
120.0,Yucca,32.7214,-114.7106
120.0,Yucca,32.7214,-114.7106
120.0,Yucca,32.7214,-114.7106
120.0,Yucca,32.7214,-114.7106
120.0,Yucca,32.7214,-114.7106
124.0,Demoss Petrie,32.252273,-110.9921
126.0,H Wilson Sundt Generating Station,32.16,-110.9047
126.0,H Wilson Sundt Generating Station,32.16,-110.9047
126.0,H Wilson Sundt Generating Station,32.16,-110.9047
126.0,H Wilson Sundt Generating Station,32.16,-110.9047
126.0,H Wilson Sundt Generating Station,32.16,-110.9047
126.0,H Wilson Sundt Generating Station,32.16,-110.9047
126.0,H Wilson Sundt Generating Station,32.16,-110.9047
126.0,H Wilson Sundt Generating Station,32.16,-110.9047
126.0,H Wilson Sundt Generating Station,32.16,-110.9047
126.0,H Wilson Sundt Generating Station,32.16,-110.9047
126.0,H Wilson Sundt Generating Station,32.16,-110.9047
126.0,H Wilson Sundt Generating Station,32.16,-110.9047
126.0,H Wilson Sundt Generating Station,32.16,-110.9047
126.0,H Wilson Sundt Generating Station,32.16,-110.9047
130.0,Cross,33.371506,-80.11324
130.0,Cross,33.371506,-80.11324
130.0,Cross,33.371506,-80.11324
130.0,Cross,33.371506,-80.11324
136.0,Seminole (FL),29.733056,-81.63278
136.0,Seminole (FL),29.733056,-81.63278
136.0,Seminole (FL),29.733056,-81.63278
136.0,Seminole (FL),29.733056,-81.63278
141.0,Agua Fria,33.5561,-112.2153
141.0,Agua Fria,33.5561,-112.2153
141.0,Agua Fria,33.5561,-112.2153
141.0,Agua Fria,33.5561,-112.2153
141.0,Agua Fria,33.5561,-112.2153
141.0,Agua Fria,33.5561,-112.2153
141.0,Agua Fria,33.5561,-112.2153
141.0,Agua Fria,33.5561,-112.2153
141.0,Agua Fria,33.5561,-112.2153
141.0,Agua Fria,33.5561,-112.2153
143.0,Crosscut,33.439375,-111.9461
145.0,Horse Mesa,33.5907,-111.344
145.0,Horse Mesa,33.5907,-111.344
145.0,Horse Mesa,33.5907,-111.344
145.0,Horse Mesa,33.5907,-111.344
147.0,Kyrene,33.3556,-111.9353
147.0,Kyrene,33.3556,-111.9353
147.0,Kyrene,33.3556,-111.9353
147.0,Kyrene,33.3556,-111.9353
147.0,Kyrene,33.3556,-111.9353
147.0,Kyrene,33.3556,-111.9353
147.0,Kyrene,33.3556,-111.9353
148.0,Mormon Flat,33.5536,-111.4431
148.0,Mormon Flat,33.5536,-111.4431
149.0,Roosevelt,33.671104,-111.1618
150.0,Stewart Mountain,33.5661,-111.536
151.0,McClure,37.62936,-120.9314
151.0,McClure,37.62936,-120.9314
152.0,Davis Dam,35.197044,-114.5707
152.0,Davis Dam,35.197044,-114.5707
152.0,Davis Dam,35.197044,-114.5707
152.0,Davis Dam,35.197044,-114.5707
152.0,Davis Dam,35.197044,-114.5707
153.0,Glen Canyon Dam,36.936614,-111.4839
153.0,Glen Canyon Dam,36.936614,-111.4839
153.0,Glen Canyon Dam,36.936614,-111.4839
153.0,Glen Canyon Dam,36.936614,-111.4839
153.0,Glen Canyon Dam,36.936614,-111.4839
153.0,Glen Canyon Dam,36.936614,-111.4839
153.0,Glen Canyon Dam,36.936614,-111.4839
153.0,Glen Canyon Dam,36.936614,-111.4839
154.0,Hoover Dam (NV),36.01551,-114.738
154.0,Hoover Dam (NV),36.01551,-114.738
154.0,Hoover Dam (NV),36.01551,-114.738
154.0,Hoover Dam (NV),36.01551,-114.738
154.0,Hoover Dam (NV),36.01551,-114.738
154.0,Hoover Dam (NV),36.01551,-114.738
154.0,Hoover Dam (NV),36.01551,-114.738
154.0,Hoover Dam (NV),36.01551,-114.738
154.0,Hoover Dam (NV),36.01551,-114.738
159.0,Lake Creek Dam,40.493631,-111.3125
160.0,Apache Station,32.0603,-109.8931
160.0,Apache Station,32.0603,-109.8931
160.0,Apache Station,32.0603,-109.8931
160.0,Apache Station,32.0603,-109.8931
160.0,Apache Station,32.0603,-109.8931
160.0,Apache Station,32.0603,-109.8931
160.0,Apache Station,32.0603,-109.8931
161.0,Turlock Lake,37.611461,-120.5947
161.0,Turlock Lake,37.611461,-120.5947
161.0,Turlock Lake,37.611461,-120.5947
162.0,Hickman,37.621536,-120.7462
162.0,Hickman,37.621536,-120.7462
165.0,GREC,36.190278,-95.2894
165.0,GREC,36.190278,-95.2894
165.0,GREC,36.190278,-95.2894
166.0,Carpenter,34.4425,-93.0262
166.0,Carpenter,34.4425,-93.0262
170.0,Lake Catherine,34.4341,-92.9049
172.0,Osceola (AR),35.705381,-89.9689
174.0,Remmel,34.4272,-92.8941
174.0,Remmel,34.4272,-92.8941
174.0,Remmel,34.4272,-92.8941
180.0,Volta 2,40.45193,-121.8622
182.0,Beaver Dam,36.421507,-93.84737
182.0,Beaver Dam,36.421507,-93.84737
187.0,Degray,34.211913,-93.11096
187.0,Degray,34.211913,-93.11096
188.0,Greers Ferry Lake,35.5207,-91.9953
188.0,Greers Ferry Lake,35.5207,-91.9953
193.0,Municipal Light,36.3858,-90.1867
193.0,Municipal Light,36.3858,-90.1867
193.0,Municipal Light,36.3858,-90.1867
193.0,Municipal Light,36.3858,-90.1867
193.0,Municipal Light,36.3858,-90.1867
195.0,Narrows (AR),34.148427,-93.71517
195.0,Narrows (AR),34.148427,-93.71517
195.0,Narrows (AR),34.148427,-93.71517
196.0,Norfork,36.2491,-92.2401
196.0,Norfork,36.2491,-92.2401
197.0,Blakely Mountain,34.570984,-93.19443
197.0,Blakely Mountain,34.570984,-93.19443
198.0,Bull Shoals,36.3635,-92.5763
198.0,Bull Shoals,36.3635,-92.5763
198.0,Bull Shoals,36.3635,-92.5763
198.0,Bull Shoals,36.3635,-92.5763
198.0,Bull Shoals,36.3635,-92.5763
198.0,Bull Shoals,36.3635,-92.5763
198.0,Bull Shoals,36.3635,-92.5763
198.0,Bull Shoals,36.3635,-92.5763
199.0,Dardanelle,35.2503,-93.1686
199.0,Dardanelle,35.2503,-93.1686
199.0,Dardanelle,35.2503,-93.1686
199.0,Dardanelle,35.2503,-93.1686
201.0,Thomas Fitzhugh,35.462382,-93.80493
201.0,Thomas Fitzhugh,35.462382,-93.80493
202.0,Carl Bailey,35.260102,-91.36343
203.0,McClellan (AR),33.5648,-92.7917
204.0,Clinton Power Station,40.1719,-88.8339
210.0,Wolf Creek Generating Station,38.23926,-95.68978
214.0,Alta Powerhouse,39.215979,-120.8036
215.0,Angels,38.071944,-120.5394
217.0,Balch 1,36.909137,-119.0877
218.0,Balch 2,36.908907,-119.0876
218.0,Balch 2,36.908907,-119.0876
219.0,Belden,40.007445,-121.2494
220.0,Bucks Creek,39.91062,-121.3277
220.0,Bucks Creek,39.91062,-121.3277
221.0,Butt Valley,40.175656,-121.1907
222.0,Caribou 1,40.085476,-121.1482
222.0,Caribou 1,40.085476,-121.1482
222.0,Caribou 1,40.085476,-121.1482
223.0,Caribou 2,40.085997,-121.1494
223.0,Caribou 2,40.085997,-121.1494
224.0,Centerville PH,39.788877,-121.6574
224.0,Centerville PH,39.788877,-121.6574
225.0,Chili Bar,38.771764,-120.8132
227.0,Coleman PH,40.404645,-122.1219
229.0,Cow Creek,40.570817,-122.0209
229.0,Cow Creek,40.570817,-122.0209
231.0,Cresta,39.825907,-121.4097
231.0,Cresta,39.825907,-121.4097
232.0,De Sabla,39.869265,-121.6318
233.0,Deer Creek PH,39.29807,-120.8443
235.0,Drum 1,39.256873,-120.7674
235.0,Drum 1,39.256873,-120.7674
235.0,Drum 1,39.256873,-120.7674
235.0,Drum 1,39.256873,-120.7674
236.0,Drum 2,39.257388,-120.767
237.0,Dutch Flat,39.216985,-120.8356
238.0,El Dorado,38.793574,-120.6192
238.0,El Dorado,38.793574,-120.6192
239.0,Electra,38.330985,-120.6699
239.0,Electra,38.330985,-120.6699
239.0,Electra,38.330985,-120.6699
240.0,Haas,36.927424,-119.0203
240.0,Haas,36.927424,-119.0203
241.0,Halsey,38.956985,-121.0419
242.0,Hamilton Branch,40.268712,-121.0895
242.0,Hamilton Branch,40.268712,-121.0895
243.0,Hat Creek 1,40.929297,-121.5445
244.0,Hat Creek 2,40.960675,-121.5487
246.0,Humboldt Bay,40.7415,-124.2103
246.0,Humboldt Bay,40.7415,-124.2103
246.0,Humboldt Bay,40.7415,-124.2103
246.0,Humboldt Bay,40.7415,-124.2103
246.0,Humboldt Bay,40.7415,-124.2103
246.0,Humboldt Bay,40.7415,-124.2103
246.0,Humboldt Bay,40.7415,-124.2103
246.0,Humboldt Bay,40.7415,-124.2103
246.0,Humboldt Bay,40.7415,-124.2103
246.0,Humboldt Bay,40.7415,-124.2103
248.0,Inskip,40.400988,-121.9655
249.0,James B Black,40.992295,-121.9752
249.0,James B Black,40.992295,-121.9752
250.0,Kerckhoff,37.092486,-119.5528
250.0,Kerckhoff,37.092486,-119.5528
253.0,Kilarc,40.677827,-121.8733
254.0,Kings River PH,36.888166,-119.1588
255.0,Lime Saddle,39.698755,-121.571
255.0,Lime Saddle,39.698755,-121.571
258.0,Merced Falls,37.52301,-120.3299
260.0,Dynegy Moss Landing Power Plant Hybrid,36.804837,-121.7822
260.0,Dynegy Moss Landing Power Plant Hybrid,36.804837,-121.7822
260.0,Dynegy Moss Landing Power Plant Hybrid,36.804837,-121.7822
